 written on  6Jan2020 at 00:07:08 
          36
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1   -0.001783    0.000000
   -1   -1   -1    2    1   -0.000135   -0.000322
   -1   -1   -1    3    1   -0.000896   -0.000086
   -1   -1   -1    4    1    0.000382   -0.000037
   -1   -1   -1    5    1    0.018578   -0.000031
   -1   -1   -1    6    1   -0.001431    0.000101
   -1   -1   -1    7    1   -0.000008   -0.000009
   -1   -1   -1    8    1    0.000065   -0.000080
   -1   -1   -1    9    1   -0.039567   -0.000232
   -1   -1   -1   10    1    0.003368    0.000734
   -1   -1   -1   11    1    0.003000    0.000908
   -1   -1   -1   12    1    0.001994    0.000160
   -1   -1   -1   13    1   -0.000561   -0.000101
   -1   -1   -1   14    1    0.003723    0.000068
   -1   -1   -1   15    1   -0.000382    0.000105
   -1   -1   -1   16    1   -0.000129    0.000098
   -1   -1   -1   17    1   -0.001543    0.000279
   -1   -1   -1   18    1    0.000525   -0.000114
   -1   -1   -1   19    1   -0.000079   -0.000106
   -1   -1   -1   20    1   -0.006507   -0.000046
   -1   -1   -1   21    1    0.002977    0.000212
   -1   -1   -1   22    1    0.002338   -0.000160
   -1   -1   -1   23    1   -0.000154    0.000154
   -1   -1   -1   24    1   -0.007063    0.000075
   -1   -1   -1   25    1   -0.013507    0.000347
   -1   -1   -1   26    1   -0.030110    0.000546
   -1   -1   -1   27    1   -0.003003   -0.000467
   -1   -1   -1   28    1    0.003140    0.000403
   -1   -1   -1   29    1    0.002274   -0.003904
   -1   -1   -1   30    1   -0.117323   -0.000671
   -1   -1   -1   31    1   -0.017589    0.000924
   -1   -1   -1   32    1    0.010462    0.000373
   -1   -1   -1   33    1   -0.468439   -0.000970
   -1   -1   -1   34    1   -0.853852   -0.000117
   -1   -1   -1   35    1   -0.016607   -0.000546
   -1   -1   -1   36    1    0.027181    0.000168
   -1   -1   -1    1    2   -0.000135    0.000322
   -1   -1   -1    2    2   -0.003212   -0.000000
   -1   -1   -1    3    2   -0.000094    0.000121
   -1   -1   -1    4    2   -0.000851    0.000033
   -1   -1   -1    5    2    0.001445   -0.000027
   -1   -1   -1    6    2    0.000045    0.000068
   -1   -1   -1    7    2    0.000096   -0.000021
   -1   -1   -1    8    2    0.000144    0.000017
   -1   -1   -1    9    2   -0.000980   -0.000067
   -1   -1   -1   10    2    0.001476   -0.005919
   -1   -1   -1   11    2   -0.003193   -0.000383
   -1   -1   -1   12    2   -0.000546   -0.000158
   -1   -1   -1   13    2   -0.002282   -0.000161
   -1   -1   -1   14    2   -0.009332    0.000389
   -1   -1   -1   15    2   -0.000555    0.000331
   -1   -1   -1   16    2    0.001096    0.000415
   -1   -1   -1   17    2    0.000213    0.000019
   -1   -1   -1   18    2    0.000688   -0.000013
   -1   -1   -1   19    2   -0.000205    0.000069
   -1   -1   -1   20    2   -0.000398   -0.000003
   -1   -1   -1   21    2    0.000157    0.000066
   -1   -1   -1   22    2    0.000832    0.000076
   -1   -1   -1   23    2   -0.000270   -0.000046
   -1   -1   -1   24    2   -0.000011    0.000026
   -1   -1   -1   25    2   -0.000654    0.002114
   -1   -1   -1   26    2   -0.004523    0.000520
   -1   -1   -1   27    2   -0.001186    0.000813
   -1   -1   -1   28    2    0.001326    0.000910
   -1   -1   -1   29    2   -0.001098   -0.001303
   -1   -1   -1   30    2   -0.012577   -0.000517
   -1   -1   -1   31    2    0.016762   -0.000140
   -1   -1   -1   32    2    0.003140   -0.000687
   -1   -1   -1   33    2   -0.050873    0.000943
   -1   -1   -1   34    2   -0.155245    0.000792
   -1   -1   -1   35    2    0.274209    0.002565
   -1   -1   -1   36    2   -0.505813    0.006380
   -1   -1   -1    1    3   -0.000896    0.000086
   -1   -1   -1    2    3   -0.000094   -0.000121
   -1   -1   -1    3    3    0.000128    0.000000
   -1   -1   -1    4    3   -0.000217    0.000088
   -1   -1   -1    5    3    0.000503   -0.000003
   -1   -1   -1    6    3   -0.000161    0.000028
   -1   -1   -1    7    3    0.000706    0.000023
   -1   -1   -1    8    3   -0.000082   -0.000019
   -1   -1   -1    9    3    0.004397    0.000013
   -1   -1   -1   10    3    0.002012    0.002306
   -1   -1   -1   11    3   -0.003467   -0.000825
   -1   -1   -1   12    3    0.001614   -0.000154
   -1   -1   -1   13    3   -0.000164   -0.001804
   -1   -1   -1   14    3    0.000062    0.001089
   -1   -1   -1   15    3    0.001341    0.000162
   -1   -1   -1   16    3    0.000215    0.000513
   -1   -1   -1   17    3    0.000618   -0.000045
   -1   -1   -1   18    3    0.000007   -0.000052
   -1   -1   -1   19    3   -0.001389    0.000015
   -1   -1   -1   20    3   -0.000289   -0.000013
   -1   -1   -1   21    3   -0.000027    0.000050
   -1   -1   -1   22    3   -0.000263   -0.000085
   -1   -1   -1   23    3   -0.001515   -0.000003
   -1   -1   -1   24    3   -0.000479    0.000005
   -1   -1   -1   25    3   -0.011736    0.005077
   -1   -1   -1   26    3   -0.012885   -0.000169
   -1   -1   -1   27    3    0.001289    0.000019
   -1   -1   -1   28    3   -0.004279    0.000536
   -1   -1   -1   29    3    0.009561   -0.002059
   -1   -1   -1   30    3   -0.038347   -0.000579
   -1   -1   -1   31    3   -0.000720    0.000043
   -1   -1   -1   32    3   -0.011370   -0.000320
   -1   -1   -1   33    3    0.159810   -0.000881
   -1   -1   -1   34    3   -0.059128   -0.001360
   -1   -1   -1   35    3    0.113703   -0.000245
   -1   -1   -1   36    3   -0.019101    0.000407
   -1   -1   -1    1    4    0.000382    0.000037
   -1   -1   -1    2    4   -0.000851   -0.000033
   -1   -1   -1    3    4   -0.000217   -0.000088
   -1   -1   -1    4    4   -0.000210    0.000000
   -1   -1   -1    5    4    0.000326    0.000031
   -1   -1   -1    6    4   -0.000582    0.000083
   -1   -1   -1    7    4   -0.000042   -0.000026
   -1   -1   -1    8    4    0.001061    0.000048
   -1   -1   -1    9    4   -0.039905    0.000359
   -1   -1   -1   10    4   -0.000476    0.004474
   -1   -1   -1   11    4   -0.000714   -0.000070
   -1   -1   -1   12    4    0.003399   -0.000126
   -1   -1   -1   13    4   -0.000219    0.000035
   -1   -1   -1   14    4   -0.000043   -0.000192
   -1   -1   -1   15    4   -0.000992   -0.000012
   -1   -1   -1   16    4    0.000846   -0.000096
   -1   -1   -1   17    4   -0.001505    0.000070
   -1   -1   -1   18    4   -0.000972    0.000035
   -1   -1   -1   19    4    0.000300   -0.000014
   -1   -1   -1   20    4    0.000516    0.000004
   -1   -1   -1   21    4    0.001527   -0.000173
   -1   -1   -1   22    4   -0.001047    0.000050
   -1   -1   -1   23    4    0.000207    0.000023
   -1   -1   -1   24    4    0.000428   -0.000022
   -1   -1   -1   25    4    0.010589    0.001863
   -1   -1   -1   26    4    0.009005   -0.000137
   -1   -1   -1   27    4   -0.003083    0.000701
   -1   -1   -1   28    4   -0.002395    0.001113
   -1   -1   -1   29    4   -0.007043   -0.000283
   -1   -1   -1   30    4    0.030155   -0.000314
   -1   -1   -1   31    4   -0.017737   -0.001076
   -1   -1   -1   32    4   -0.018535   -0.000845
   -1   -1   -1   33    4   -0.041654    0.001100
   -1   -1   -1   34    4   -0.028469    0.000578
   -1   -1   -1   35    4   -0.029538    0.000702
   -1   -1   -1   36    4    0.277186    0.000271
   -1   -1   -1    1    5    0.018578    0.000031
   -1   -1   -1    2    5    0.001445    0.000027
   -1   -1   -1    3    5    0.000503    0.000003
   -1   -1   -1    4    5    0.000326   -0.000031
   -1   -1   -1    5    5   -0.001747   -0.000000
   -1   -1   -1    6    5    0.000198   -0.000366
   -1   -1   -1    7    5   -0.001011   -0.000098
   -1   -1   -1    8    5    0.000648   -0.000100
   -1   -1   -1    9    5   -0.006713    0.000256
   -1   -1   -1   10    5   -0.000481   -0.000827
   -1   -1   -1   11    5    0.004268    0.000037
   -1   -1   -1   12    5    0.002272    0.000045
   -1   -1   -1   13    5   -0.002213   -0.000024
   -1   -1   -1   14    5   -0.000950   -0.000049
   -1   -1   -1   15    5   -0.005333    0.000012
   -1   -1   -1   16    5    0.003669    0.000019
   -1   -1   -1   17    5   -0.000670    0.000341
   -1   -1   -1   18    5   -0.002141    0.000041
   -1   -1   -1   19    5    0.001521   -0.000097
   -1   -1   -1   20    5    0.000926   -0.000090
   -1   -1   -1   21    5   -0.000167   -0.000125
   -1   -1   -1   22    5   -0.001356   -0.000043
   -1   -1   -1   23    5    0.001920    0.000114
   -1   -1   -1   24    5    0.000952   -0.000113
   -1   -1   -1   25    5    0.003889   -0.000992
   -1   -1   -1   26    5   -0.001012   -0.000018
   -1   -1   -1   27    5   -0.000095    0.000006
   -1   -1   -1   28    5    0.000244   -0.000072
   -1   -1   -1   29    5   -0.004534    0.000517
   -1   -1   -1   30    5   -0.005978   -0.000026
   -1   -1   -1   31    5    0.000101    0.000104
   -1   -1   -1   32    5   -0.000064    0.000108
   -1   -1   -1   33    5   -0.000046    0.000010
   -1   -1   -1   34    5   -0.033552    0.000465
   -1   -1   -1   35    5   -0.005335    0.000107
   -1   -1   -1   36    5    0.006091   -0.000066
   -1   -1   -1    1    6   -0.001431   -0.000101
   -1   -1   -1    2    6    0.000045   -0.000068
   -1   -1   -1    3    6   -0.000161   -0.000028
   -1   -1   -1    4    6   -0.000582   -0.000083
   -1   -1   -1    5    6    0.000198    0.000366
