 written on 10Jan2020 at 02:22:22 
          22
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1    0.000503   -0.000000
   -1   -1   -1    2    1    0.020454    0.011177
   -1   -1   -1    3    1   -0.003872   -0.001723
   -1   -1   -1    4    1   -0.002090   -0.003336
   -1   -1   -1    5    1    0.001714   -0.004587
   -1   -1   -1    6    1   -0.012415    0.001603
   -1   -1   -1    7    1   -0.003451   -0.036676
   -1   -1   -1    8    1    0.035089    0.048276
   -1   -1   -1    9    1   -0.002836   -0.002832
   -1   -1   -1   10    1   -0.000805    0.001088
   -1   -1   -1   11    1    0.044994    0.009349
   -1   -1   -1   12    1    0.011238   -0.001473
   -1   -1   -1   13    1   -0.000927   -0.008233
   -1   -1   -1   14    1   -0.007626   -0.001538
   -1   -1   -1   15    1    0.011544   -0.011072
   -1   -1   -1   16    1   -0.002590   -0.003827
   -1   -1   -1   17    1    0.002686   -0.000972
   -1   -1   -1   18    1   -0.001028   -0.007521
   -1   -1   -1   19    1   -0.004371   -0.005770
   -1   -1   -1   20    1    0.008624   -0.003227
   -1   -1   -1   21    1   -0.003983   -0.000328
   -1   -1   -1   22    1   -0.003034    0.002429
   -1   -1   -1    1    2    0.020454   -0.011177
   -1   -1   -1    2    2   -0.046157    0.000000
   -1   -1   -1    3    2    0.115646   -0.081233
   -1   -1   -1    4    2   -0.002523   -0.014929
   -1   -1   -1    5    2   -0.016519    0.018061
   -1   -1   -1    6    2    0.005930   -0.000238
   -1   -1   -1    7    2   -0.097778    0.153677
   -1   -1   -1    8    2    0.022693   -0.056777
   -1   -1   -1    9    2    0.018935    0.025254
   -1   -1   -1   10    2   -0.023034   -0.009486
   -1   -1   -1   11    2   -0.073279   -0.064347
   -1   -1   -1   12    2   -0.003905    0.013656
   -1   -1   -1   13    2   -0.021132    0.033983
   -1   -1   -1   14    2    0.035464   -0.035335
   -1   -1   -1   15    2   -0.078032    0.123193
   -1   -1   -1   16    2    0.011874    0.035673
   -1   -1   -1   17    2    0.035348   -0.033787
   -1   -1   -1   18    2   -0.008831   -0.113865
   -1   -1   -1   19    2    0.028867    0.014671
   -1   -1   -1   20    2   -0.060747   -0.002264
   -1   -1   -1   21    2    0.028397    0.003563
   -1   -1   -1   22    2   -0.005644    0.010716
   -1   -1   -1    1    3   -0.003872    0.001723
   -1   -1   -1    2    3    0.115646    0.081233
   -1   -1   -1    3    3    0.061673   -0.000000
   -1   -1   -1    4    3   -0.009227    0.004932
   -1   -1   -1    5    3   -0.006844   -0.004601
   -1   -1   -1    6    3   -0.010697   -0.009273
   -1   -1   -1    7    3    0.066880   -0.042183
   -1   -1   -1    8    3   -0.023397   -0.001230
   -1   -1   -1    9    3    0.012247    0.010214
   -1   -1   -1   10    3    0.009814    0.009813
   -1   -1   -1   11    3    0.036208    0.036624
   -1   -1   -1   12    3   -0.008147    0.023270
   -1   -1   -1   13    3    0.036949   -0.012099
   -1   -1   -1   14    3    0.010910   -0.012065
   -1   -1   -1   15    3    0.110253   -0.016913
   -1   -1   -1   16    3    0.003725    0.002325
   -1   -1   -1   17    3    0.003934   -0.021201
   -1   -1   -1   18    3   -0.014030    0.104829
   -1   -1   -1   19    3   -0.042337   -0.009993
   -1   -1   -1   20    3   -0.013069    0.033814
   -1   -1   -1   21    3   -0.022084    0.032847
   -1   -1   -1   22    3   -0.004203   -0.004269
   -1   -1   -1    1    4   -0.002090    0.003336
   -1   -1   -1    2    4   -0.002523    0.014929
   -1   -1   -1    3    4   -0.009227   -0.004932
   -1   -1   -1    4    4    0.003947    0.000000
   -1   -1   -1    5    4    0.000391    0.000632
   -1   -1   -1    6    4   -0.002819    0.000546
   -1   -1   -1    7    4    0.000869   -0.002095
   -1   -1   -1    8    4    0.012381    0.006783
   -1   -1   -1    9    4    0.019416   -0.008401
   -1   -1   -1   10    4    0.002367    0.004478
   -1   -1   -1   11    4   -0.020079    0.000368
   -1   -1   -1   12    4   -0.003479   -0.005268
   -1   -1   -1   13    4    0.003607   -0.007562
   -1   -1   -1   14    4    0.007468   -0.003239
   -1   -1   -1   15    4    0.001519    0.021666
   -1   -1   -1   16    4    0.005411   -0.009411
   -1   -1   -1   17    4   -0.002540    0.006563
   -1   -1   -1   18    4   -0.011046   -0.006813
   -1   -1   -1   19    4    0.009125    0.003378
   -1   -1   -1   20    4   -0.002953    0.001387
   -1   -1   -1   21    4   -0.002639    0.001798
   -1   -1   -1   22    4    0.009032   -0.000575
   -1   -1   -1    1    5    0.001714    0.004587
   -1   -1   -1    2    5   -0.016519   -0.018061
   -1   -1   -1    3    5   -0.006844    0.004601
   -1   -1   -1    4    5    0.000391   -0.000632
   -1   -1   -1    5    5   -0.006200    0.000000
   -1   -1   -1    6    5    0.000866   -0.000544
   -1   -1   -1    7    5   -0.009114   -0.011939
   -1   -1   -1    8    5   -0.023949    0.006631
   -1   -1   -1    9    5   -0.016301   -0.002815
   -1   -1   -1   10    5   -0.006744    0.005243
   -1   -1   -1   11    5    0.021884   -0.004951
   -1   -1   -1   12    5   -0.003732    0.007615
   -1   -1   -1   13    5   -0.009106   -0.007764
   -1   -1   -1   14    5    0.002185    0.001249
   -1   -1   -1   15    5   -0.007559   -0.020125
   -1   -1   -1   16    5    0.002482    0.002396
   -1   -1   -1   17    5    0.003213    0.005131
   -1   -1   -1   18    5    0.002772    0.018570
   -1   -1   -1   19    5    0.005940    0.001427
   -1   -1   -1   20    5    0.000702    0.001041
   -1   -1   -1   21    5    0.022002    0.000883
   -1   -1   -1   22    5    0.022865    0.003862
   -1   -1   -1    1    6   -0.012415   -0.001603
   -1   -1   -1    2    6    0.005930    0.000238
   -1   -1   -1    3    6   -0.010697    0.009273
   -1   -1   -1    4    6   -0.002819   -0.000546
   -1   -1   -1    5    6    0.000866    0.000544
   -1   -1   -1    6    6   -0.001010   -0.000000
   -1   -1   -1    7    6    0.000872   -0.001392
   -1   -1   -1    8    6   -0.001216   -0.005282
   -1   -1   -1    9    6   -0.000466    0.000680
   -1   -1   -1   10    6   -0.000395   -0.001113
   -1   -1   -1   11    6    0.001567    0.001367
   -1   -1   -1   12    6    0.000182    0.000468
   -1   -1   -1   13    6    0.001705   -0.000294
   -1   -1   -1   14    6   -0.022521   -0.000209
   -1   -1   -1   15    6   -0.003115   -0.014394
   -1   -1   -1   16    6   -0.002980    0.007438
   -1   -1   -1   17    6   -0.002024   -0.003690
   -1   -1   -1   18    6   -0.001256    0.006242
   -1   -1   -1   19    6    0.001449   -0.004178
   -1   -1   -1   20    6   -0.002404    0.000769
   -1   -1   -1   21    6    0.000339   -0.000379
   -1   -1   -1   22    6   -0.002415    0.000334
   -1   -1   -1    1    7   -0.003451    0.036676
   -1   -1   -1    2    7   -0.097778   -0.153677
   -1   -1   -1    3    7    0.066880    0.042183
   -1   -1   -1    4    7    0.000869    0.002095
   -1   -1   -1    5    7   -0.009114    0.011939
   -1   -1   -1    6    7    0.000872    0.001392
   -1   -1   -1    7    7   -0.002032   -0.000000
   -1   -1   -1    8    7   -0.014051   -0.066326
   -1   -1   -1    9    7    0.005727    0.002381
   -1   -1   -1   10    7    0.005122    0.000430
   -1   -1   -1   11    7   -0.009040    0.010775
   -1   -1   -1   12    7   -0.000939   -0.000527
   -1   -1   -1   13    7    0.000316    0.004619
   -1   -1   -1   14    7    0.012893   -0.034595
   -1   -1   -1   15    7   -0.002347   -0.031276
   -1   -1   -1   16    7    0.053445   -0.027885
   -1   -1   -1   17    7    0.012222    0.029389
   -1   -1   -1   18    7   -0.014121   -0.083914
   -1   -1   -1   19    7    0.009718    0.012521
   -1   -1   -1   20    7   -0.006452    0.004024
   -1   -1   -1   21    7   -0.001146    0.010391
   -1   -1   -1   22    7   -0.003904   -0.010047
   -1   -1   -1    1    8    0.035089   -0.048276
   -1   -1   -1    2    8    0.022693    0.056777
   -1   -1   -1    3    8   -0.023397    0.001230
   -1   -1   -1    4    8    0.012381   -0.006783
   -1   -1   -1    5    8   -0.023949   -0.006631
   -1   -1   -1    6    8   -0.001216    0.005282
   -1   -1   -1    7    8   -0.014051    0.066326
   -1   -1   -1    8    8    0.029043    0.000000
   -1   -1   -1    9    8    0.002284   -0.004863
   -1   -1   -1   10    8   -0.005039    0.001460
   -1   -1   -1   11    8   -0.023805   -0.032700
   -1   -1   -1   12    8   -0.003150    0.001043
   -1   -1   -1   13    8   -0.004030   -0.001376
   -1   -1   -1   14    8   -0.009493    0.046099
